Rank,Name,G,W.L,AB,H,BA
1,Tennessee Tech,65,53-12,2370,788,0.332
2,UNC Greensboro,54,39-15,1917,624,0.326
3,Oregon St.,68,55-12-1,2345,753,0.321
4,Morehead St.,63,37-26,2325,734,0.316
5,New Mexico St.,62,40-22,2113,656,0.31
6,UNLV,59,35-24,2134,662,0.31
7,Air Force,54,24-30,1953,605,0.31
8,Texas Tech,65,45-20,2249,695,0.309
9,Jackson St.,52,34-18,1753,532,0.303
10,Bryant,56,32-23-1,1932,585,0.303
11,Mercer,60,38-22,2101,635,0.302
12,Texas Southern,55,27-28,1859,561,0.302
13,Southern Miss.,62,44-18,2166,651,0.301
14,San Diego St.,60,39-21,2103,632,0.301
15,Alabama St.,52,30-22,1821,547,0.3
16,Ole Miss,65,48-17,2200,660,0.3
17,Minnesota,59,44-15,2019,605,0.3
18,Fresno St.,54,30-24,1872,559,0.299
19,Nevada,53,29-24,1846,549,0.297
20,St. John's (NY),57,40-17,1958,582,0.297
21,DBU,63,42-21,2184,648,0.297
22,Eastern Ky.,61,30-31,2169,643,0.29600000000000004
23,Arkansas,69,48-21,2347,695,0.29600000000000004
24,Troy,63,42-21,2158,638,0.29600000000000004
25,South Fla.,59,36-22-1,2050,606,0.29600000000000004
26,Grand Canyon,57,33-24,1968,581,0.295
27,Northern Colo.,53,29-24,1836,541,0.295
28,Bradley,51,32-19,1729,509,0.294
29,Kentucky,56,34-22,1880,553,0.294
30,Wright St.,56,39-17,1954,574,0.294
31,Louisville,64,45-19,2139,625,0.292
32,Incarnate Word,55,29-26,1907,557,0.292
33,Georgia Tech,58,31-27,2040,593,0.29100000000000004
34,Arizona St.,55,23-32,1890,549,0.29
35,Grambling,52,26-26,1715,498,0.29
36,Coastal Caro.,62,43-19,2116,614,0.29
37,Cal Poly,57,30-27,1989,577,0.29
38,A&M-Corpus Christi,56,30-26,1958,568,0.29
39,Jacksonville,61,40-21,2062,598,0.29
40,San Jose St.,57,27-30,1964,567,0.289
41,Wichita St.,57,35-21-1,1937,559,0.289
42,East Carolina,62,44-18,2063,595,0.28800000000000003
43,FIU,54,26-28,1829,527,0.28800000000000003
44,San Diego,55,23-32,1913,551,0.28800000000000003
45,NC State,60,42-18,2040,587,0.28800000000000003
46,Wofford,59,36-23,2004,576,0.287
48,California,54,32-22,1880,540,0.287
49,Kent St.,58,40-18,1984,569,0.287
50,ETSU,53,28-25,1839,527,0.287
51,Navy,54,38-16,1837,526,0.28600000000000003
52,Murray St.,56,27-29,1900,544,0.28600000000000003
53,Central Ark.,57,32-25,1949,558,0.28600000000000003
54,UCLA,59,38-21,2005,574,0.28600000000000003
55,Baylor,58,37-21,1993,570,0.28600000000000003
56,Niagara,51,24-27,1742,498,0.28600000000000003
57,North Carolina,64,44-20,2207,629,0.285
58,George Washington,58,32-26,2008,572,0.285
59,Arizona,56,34-22,1865,531,0.285
60,UTSA,56,32-24,1904,541,0.284
61,Oral Roberts,58,38-20,1961,557,0.284
62,VMI,53,26-27,1794,509,0.284
63,Indiana,59,40-19,2021,573,0.284
64,LSU,66,39-27,2196,622,0.28300000000000003
65,Florida A&M,55,25-30,1816,514,0.28300000000000003
66,High Point,56,34-22,1961,555,0.28300000000000003
67,Ohio St.,60,36-24,2071,586,0.28300000000000003
68,Georgia,60,39-21,2065,584,0.28300000000000003
69,UConn,60,37-22-1,2077,587,0.28300000000000003
70,Auburn,66,43-23,2223,626,0.282
71,Louisiana Tech,59,39-20,2020,568,0.281
72,Saint Louis,58,38-20,1981,557,0.281
73,Seattle U,57,34-23,1860,522,0.281
74,Coppin St.,45,21-24,1451,407,0.28
75,UC Irvine,56,32-24,1901,533,0.28
76,West Virginia,56,29-27,1926,540,0.28
77,Purdue,59,38-21,1919,538,0.28
78,Duke,63,45-18,2162,606,0.28
79,Canisius,57,35-22,1966,551,0.28
80,Quinnipiac,56,26-30,1907,534,0.28
81,Middle Tenn.,55,27-27-1,1926,539,0.28
82,Southeast Mo. St.,57,27-30,1955,547,0.28
83,FGCU,53,32-21,1823,510,0.28
84,Sam Houston St.,59,39-20,1998,558,0.27899999999999997
85,Nicholls St.,60,28-32,2009,561,0.27899999999999997
86,Old Dominion,52,15-37,1778,496,0.27899999999999997
87,New Mexico,54,20-33-1,1854,517,0.27899999999999997
88,Milwaukee,54,26-28,1844,514,0.27899999999999997
89,Col. of Charleston,55,36-19,1835,511,0.278
90,Charlotte,58,34-24,2013,560,0.278
91,UC Davis,53,18-35,1841,512,0.278
92,Stanford,58,46-12,1936,538,0.278
93,Bethune-Cookman,58,24-34,1944,539,0.27699999999999997
94,Mississippi St.,68,39-29,2417,670,0.27699999999999997
95,Marist,50,27-23,1632,452,0.27699999999999997
96,Jacksonville St.,57,32-25,2063,571,0.27699999999999997
97,Indiana St.,55,31-24,1915,530,0.27699999999999997
98,Marshall,50,19-31,1760,487,0.27699999999999997
99,Rice,59,26-31-2,2000,553,0.27699999999999997
100,Austin Peay,57,30-27,1958,541,0.276
101,Gardner-Webb,58,31-27,1945,537,0.276
102,Siena,56,21-35,1820,502,0.276
103,Oklahoma,63,38-25,2150,593,0.276
104,Xavier,55,20-35,1918,529,0.276
105,Michigan,54,33-21,1823,502,0.275
106,South Carolina,63,37-26,2170,597,0.275
107,Seton Hall,51,30-20-1,1722,473,0.275
108,Abilene Christian,54,21-33,1863,511,0.27399999999999997
109,Florida,70,49-21,2342,642,0.27399999999999997
110,Nebraska,52,24-28,1781,488,0.27399999999999997
111,N.C. A&T,57,32-25,1935,530,0.27399999999999997
112,Furman,52,24-28,1771,485,0.27399999999999997
113,BYU,50,22-28,1761,482,0.27399999999999997
114,Valparaiso,53,19-34,1871,512,0.27399999999999997
115,Kennesaw St.,55,25-30,1897,519,0.27399999999999997
116,Notre Dame,54,24-30,1837,502,0.273
117,Saint Mary's (CA),54,31-23,1761,481,0.273
118,Fla. Atlantic,63,43-19-1,2175,594,0.273
119,Northeastern,57,36-21,1992,544,0.273
120,Fairfield,51,22-29,1692,462,0.273
121,Davidson,54,33-21,1839,502,0.273
122,Toledo,55,22-33,1887,515,0.273
123,CSUN,58,28-30,2049,559,0.273
124,Washington,61,35-26,2082,568,0.273
125,Stony Brook,57,32-25,1844,503,0.273
126,Dartmouth,40,17-22-1,1413,385,0.272
127,Western Ky.,52,21-31,1770,482,0.272
128,Illinois St.,52,22-30,1862,507,0.272
129,Belmont,55,19-36,1935,526,0.272
130,Kansas,57,27-30,1939,527,0.272
131,SFA,53,17-36,1814,493,0.272
132,USC Upstate,52,23-28-1,1771,481,0.272
133,Butler,54,34-20,1871,508,0.272
134,Utah,55,16-39,1891,513,0.271
135,Central Mich.,60,29-30-1,2002,543,0.271
136,Maine,54,20-34,1803,489,0.271
137,Texas,65,42-23,2128,577,0.271
138,Central Conn. St.,46,18-28,1494,405,0.271
139,Eastern Ill.,54,23-31,1863,504,0.271
140,Virginia,54,29-25,1842,498,0.27
141,Gonzaga,57,33-24,1950,527,0.27
142,Northwestern St.,62,38-24,2148,580,0.27
143,Wagner,56,38-18,1871,505,0.27
144,Fordham,55,35-19-1,1843,497,0.27
145,Rutgers,50,25-25,1692,456,0.27
146,VCU,57,34-23,1874,505,0.26899999999999996
147,Western Caro.,58,11-47,1982,534,0.26899999999999996
148,Vanderbilt,62,35-27,2078,559,0.26899999999999996
149,N.C. Central,52,28-24,1703,458,0.26899999999999996
150,Hartford,57,26-31,1841,495,0.26899999999999996
151,Georgetown,55,25-30,1812,487,0.26899999999999996
152,Cal St. Fullerton,61,36-25,2082,559,0.268
153,New Orleans,61,29-32,2176,584,0.268
154,Southern Ill.,58,28-30,1949,523,0.268
155,Miami (OH),55,35-20,1838,493,0.268
156,Illinois,53,33-20,1805,484,0.268
157,Harvard,42,22-20,1451,389,0.268
158,Hawaii,51,27-24,1661,445,0.268
159,Western Mich.,48,23-25,1613,432,0.268
160,UIC,48,30-18,1595,427,0.268
161,South Dakota St.,50,18-32,1715,459,0.268
162,Penn,42,16-25-1,1510,404,0.268
163,Richmond,56,32-24,1873,501,0.267
164,North Florida,56,28-28,1907,510,0.267
165,Monmouth,55,30-25,1836,491,0.267
166,Samford,63,37-26,2155,576,0.267
167,LIU Brooklyn,57,31-26,1883,503,0.267
168,Creighton,50,34-16,1709,456,0.267
169,McNeese,58,25-33,1912,510,0.267
170,The Citadel,53,19-34,1779,474,0.266
171,CSU Bakersfield,57,21-36,1904,507,0.266
172,Missouri,56,34-22,1909,508,0.266
173,Houston,63,38-25,2124,564,0.266
174,George Mason,56,29-27,1891,502,0.265
175,Florida St.,62,43-19,2053,545,0.265
176,Virginia Tech,54,21-33,1869,496,0.265
177,Iowa,53,33-20,1779,472,0.265
178,Alabama A&M,49,12-37,1659,440,0.265
179,Houston Baptist,59,29-30,2003,531,0.265
180,UC Santa Barbara,56,27-28-1,1897,502,0.265
181,Elon,59,36-23,1984,525,0.265
182,Tulane,58,25-33,1973,522,0.265
183,Ball St.,58,32-26,1983,524,0.264
184,UNCW,62,39-23,2131,563,0.264
185,UCF,56,35-21,1889,499,0.264
186,Texas St.,59,30-28-1,1950,515,0.264
187,Mt. St. Mary's,54,21-33,1743,459,0.263
188,Presbyterian,54,15-39,1853,487,0.263
189,Army West Point,61,37-24,1903,500,0.263
190,Columbia,50,20-30,1744,458,0.263
191,Georgia St.,55,26-29,1840,482,0.262
192,Eastern Mich.,56,22-34,1902,498,0.262
193,Portland,53,23-30,1768,462,0.261
194,South Alabama,57,32-25,1922,502,0.261
195,Clemson,63,47-16,2066,539,0.261
196,TCU,56,33-23,1872,488,0.261
197,Ark.-Pine Bluff,45,20-25,1432,373,0.26
198,UC Riverside,52,19-33,1836,478,0.26
199,UT Arlington,57,22-35,1963,511,0.26
200,NJIT,47,22-25,1606,416,0.259
201,Kansas St.,54,23-31,1824,472,0.259
202,Sacramento St.,60,35-25,2034,526,0.259
203,UT Martin,51,11-40,1764,456,0.259
204,San Francisco,58,28-30,1927,497,0.258
205,Evansville,51,12-39,1710,441,0.258
206,Missouri St.,57,40-17,1843,475,0.258
207,Washington St.,50,16-33-1,1696,437,0.258
208,Oklahoma St.,58,31-26-1,1960,505,0.258
209,Rider,47,12-35,1550,399,0.257
210,Miami (FL),54,28-26,1821,468,0.257
211,Winthrop,56,25-31,1876,482,0.257
212,Little Rock,56,28-28,1880,483,0.257
213,Pepperdine,55,31-24,1819,467,0.257
214,Oakland,47,15-32,1587,407,0.256
215,Pacific,51,22-29,1704,437,0.256
216,Utah Valley,52,15-37,1767,453,0.256
217,Wake Forest,57,25-32,1947,499,0.256
218,Dayton,52,21-31,1725,442,0.256
219,La Salle,55,14-41,1897,486,0.256
220,Liberty,58,32-26,1953,500,0.256
221,Cincinnati,56,28-28,1834,469,0.256
222,Alabama,56,27-29,1889,483,0.256
223,UMBC,51,22-29,1627,416,0.256
224,Stetson,61,48-13,1995,510,0.256
225,Southern California,54,26-28,1814,463,0.255
226,Loyola Marymount,55,25-30,1839,469,0.255
227,Western Ill.,48,17-31,1596,407,0.255
228,Campbell,61,35-26,2028,517,0.255
229,Bowling Green,50,11-39,1697,432,0.255
230,James Madison,52,26-26,1722,438,0.254
231,Alcorn,52,13-39,1668,424,0.254
232,North Dakota St.,50,26-24,1661,422,0.254
233,Southern U.,42,9-33,1390,353,0.254
234,Ohio,53,21-32,1828,464,0.254
235,Sacred Heart,52,17-35,1698,431,0.254
236,Tennessee,56,29-27,1868,474,0.254
237,UMass Lowell,54,25-29,1739,441,0.254
238,Yale,43,22-21,1490,377,0.253
239,Arkansas St.,52,20-32,1792,453,0.253
240,Manhattan,53,25-28,1732,437,0.252
241,Northern Ill.,56,20-36,1820,459,0.252
242,Bucknell,45,17-27-1,1386,349,0.252
243,Northern Ky.,53,14-39,1815,457,0.252
244,Prairie View,54,14-40,1713,431,0.252
245,Radford,57,25-32,1912,481,0.252
246,Southeastern La.,59,37-22,1881,472,0.251
247,La.-Monroe,54,23-31,1786,448,0.251
248,Northwestern,49,17-32,1641,410,0.25
249,Delaware,58,31-27,1908,476,0.249
250,Fairleigh Dickinson,47,10-37,1468,366,0.249
251,Cornell,37,14-22-1,1270,316,0.249
252,Santa Clara,52,26-26,1753,436,0.249
253,Ga. Southern,56,30-26,1832,455,0.248
254,Lehigh,49,22-27,1528,379,0.248
255,Long Beach St.,57,27-30,1847,458,0.248
256,Norfolk St.,49,19-30,1570,389,0.248
257,Lipscomb,54,24-30,1766,435,0.24600000000000002
258,Binghamton,49,18-30-1,1564,384,0.24600000000000002
259,Delaware St.,44,9-35,1418,348,0.245
260,Massachusetts,44,15-29,1478,362,0.245
261,SIUE,52,15-37,1777,435,0.245
262,Albany (NY),48,20-28,1547,378,0.244
263,Brown,37,11-26,1290,315,0.244
264,Purdue Fort Wayne,48,11-37,1540,376,0.244
265,Michigan St.,52,20-32,1751,427,0.244
266,UAB,54,21-33,1770,430,0.243
267,Boston College,49,17-32,1676,407,0.243
268,Youngstown St.,56,18-38,1849,449,0.243
269,UTRGV,54,23-31,1808,439,0.243
270,Maryland,54,24-30,1801,437,0.243
271,Lafayette,51,16-34-1,1662,403,0.242
272,Louisiana,59,34-25,1950,472,0.242
273,St. Bonaventure,43,10-33,1439,348,0.242
274,Lamar University,55,19-36,1822,440,0.24100000000000002
275,Princeton,37,10-27,1253,301,0.24
276,UMES,53,12-41,1584,380,0.24
277,Chicago St.,54,13-41,1692,405,0.239
278,Oregon,55,26-29,1781,426,0.239
279,Iona,47,16-31,1517,362,0.239
280,Omaha,50,15-35,1624,386,0.23800000000000002
281,Pittsburgh,55,29-26,1789,425,0.23800000000000002
282,Holy Cross,45,18-27,1450,344,0.237
283,Memphis,56,20-36,1813,430,0.237
284,Saint Joseph's,48,21-27,1599,377,0.23600000000000002
285,Savannah St.,41,7-34,1312,309,0.23600000000000002
286,UNC Asheville,51,13-38,1708,402,0.235
287,Hofstra,46,23-23,1502,353,0.235
288,Rhode Island,51,24-27,1657,389,0.235
289,Penn St.,49,15-34,1625,379,0.233
290,Charleston So.,54,19-35,1819,423,0.233
291,Towson,55,13-42,1817,420,0.231
292,Villanova,48,9-39,1587,360,0.22699999999999998
293,Longwood,55,17-38,1791,401,0.22399999999999998
294,William & Mary,54,15-39,1793,395,0.22
295,Mississippi Val.,46,11-35,1410,303,0.215
296,Appalachian St.,54,18-36,1771,371,0.209
297,Saint Peter's,44,2-42,1352,282,0.209
