Name,Rank,G,W.L,AB,H,BA
Tennessee Tech,1,65,53-12,2370,788,0.332
UNC Greensboro,2,54,39-15,1917,624,0.326
Oregon St.,3,68,55-12-1,2345,753,0.321
Morehead St.,4,63,37-26,2325,734,0.316
New Mexico St.,5,62,40-22,2113,656,0.31
UNLV,6,59,35-24,2134,662,0.31
Air Force,7,54,24-30,1953,605,0.31
Texas Tech,8,65,45-20,2249,695,0.309
Jackson St.,9,52,34-18,1753,532,0.303
Bryant,10,56,32-23-1,1932,585,0.303
Mercer,11,60,38-22,2101,635,0.302
Texas Southern,12,55,27-28,1859,561,0.302
Southern Miss.,13,62,44-18,2166,651,0.301
San Diego St.,14,60,39-21,2103,632,0.301
Alabama St.,15,52,30-22,1821,547,0.3
Ole Miss,16,65,48-17,2200,660,0.3
Minnesota,17,59,44-15,2019,605,0.3
Fresno St.,18,54,30-24,1872,559,0.299
Nevada,19,53,29-24,1846,549,0.297
St. John's (NY),20,57,40-17,1958,582,0.297
DBU,21,63,42-21,2184,648,0.297
Eastern Ky.,22,61,30-31,2169,643,0.29600000000000004
Arkansas,23,69,48-21,2347,695,0.29600000000000004
Troy,24,63,42-21,2158,638,0.29600000000000004
South Fla.,25,59,36-22-1,2050,606,0.29600000000000004
Grand Canyon,26,57,33-24,1968,581,0.295
Northern Colo.,27,53,29-24,1836,541,0.295
Bradley,28,51,32-19,1729,509,0.294
Kentucky,29,56,34-22,1880,553,0.294
Wright St.,30,56,39-17,1954,574,0.294
Louisville,31,64,45-19,2139,625,0.292
Incarnate Word,32,55,29-26,1907,557,0.292
Georgia Tech,33,58,31-27,2040,593,0.29100000000000004
Arizona St.,34,55,23-32,1890,549,0.29
Grambling,35,52,26-26,1715,498,0.29
Coastal Caro.,36,62,43-19,2116,614,0.29
Cal Poly,37,57,30-27,1989,577,0.29
A&M-Corpus Christi,38,56,30-26,1958,568,0.29
Jacksonville,39,61,40-21,2062,598,0.29
San Jose St.,40,57,27-30,1964,567,0.289
Wichita St.,41,57,35-21-1,1937,559,0.289
East Carolina,42,62,44-18,2063,595,0.28800000000000003
FIU,43,54,26-28,1829,527,0.28800000000000003
San Diego,44,55,23-32,1913,551,0.28800000000000003
NC State,45,60,42-18,2040,587,0.28800000000000003
Texas A&M,46,62,40-22,2171,624,0.287
California,48,54,32-22,1880,540,0.287
Kent St.,49,58,40-18,1984,569,0.287
ETSU,50,53,28-25,1839,527,0.287
Navy,51,54,38-16,1837,526,0.28600000000000003
Murray St.,52,56,27-29,1900,544,0.28600000000000003
Central Ark.,53,57,32-25,1949,558,0.28600000000000003
UCLA,54,59,38-21,2005,574,0.28600000000000003
Baylor,55,58,37-21,1993,570,0.28600000000000003
Niagara,56,51,24-27,1742,498,0.28600000000000003
North Carolina,57,64,44-20,2207,629,0.285
George Washington,58,58,32-26,2008,572,0.285
Arizona,59,56,34-22,1865,531,0.285
UTSA,60,56,32-24,1904,541,0.284
Oral Roberts,61,58,38-20,1961,557,0.284
VMI,62,53,26-27,1794,509,0.284
Indiana,63,59,40-19,2021,573,0.284
LSU,64,66,39-27,2196,622,0.28300000000000003
Florida A&M,65,55,25-30,1816,514,0.28300000000000003
High Point,66,56,34-22,1961,555,0.28300000000000003
Ohio St.,67,60,36-24,2071,586,0.28300000000000003
Georgia,68,60,39-21,2065,584,0.28300000000000003
UConn,69,60,37-22-1,2077,587,0.28300000000000003
Auburn,70,66,43-23,2223,626,0.282
Louisiana Tech,71,59,39-20,2020,568,0.281
Saint Louis,72,58,38-20,1981,557,0.281
Seattle U,73,57,34-23,1860,522,0.281
Coppin St.,74,45,21-24,1451,407,0.28
UC Irvine,75,56,32-24,1901,533,0.28
West Virginia,76,56,29-27,1926,540,0.28
Purdue,77,59,38-21,1919,538,0.28
Duke,78,63,45-18,2162,606,0.28
Canisius,79,57,35-22,1966,551,0.28
Quinnipiac,80,56,26-30,1907,534,0.28
Middle Tenn.,81,55,27-27-1,1926,539,0.28
Southeast Mo. St.,82,57,27-30,1955,547,0.28
FGCU,83,53,32-21,1823,510,0.28
Sam Houston St.,84,59,39-20,1998,558,0.279
Nicholls St.,85,60,28-32,2009,561,0.279
Old Dominion,86,52,15-37,1778,496,0.279
New Mexico,87,54,20-33-1,1854,517,0.279
Milwaukee,88,54,26-28,1844,514,0.279
Col. of Charleston,89,55,36-19,1835,511,0.278
Charlotte,90,58,34-24,2013,560,0.278
UC Davis,91,53,18-35,1841,512,0.278
Stanford,92,58,46-12,1936,538,0.278
Bethune-Cookman,93,58,24-34,1944,539,0.277
Mississippi St.,94,68,39-29,2417,670,0.277
Marist,95,50,27-23,1632,452,0.277
Jacksonville St.,96,57,32-25,2063,571,0.277
Indiana St.,97,55,31-24,1915,530,0.277
Marshall,98,50,19-31,1760,487,0.277
Rice,99,59,26-31-2,2000,553,0.277
Austin Peay,100,57,30-27,1958,541,0.276
Gardner-Webb,101,58,31-27,1945,537,0.276
Siena,102,56,21-35,1820,502,0.276
Oklahoma,103,63,38-25,2150,593,0.276
Xavier,104,55,20-35,1918,529,0.276
Michigan,105,54,33-21,1823,502,0.275
South Carolina,106,63,37-26,2170,597,0.275
Seton Hall,107,51,30-20-1,1722,473,0.275
Abilene Christian,108,54,21-33,1863,511,0.274
Florida,109,70,49-21,2342,642,0.274
Nebraska,110,52,24-28,1781,488,0.274
N.C. A&T,111,57,32-25,1935,530,0.274
Furman,112,52,24-28,1771,485,0.274
BYU,113,50,22-28,1761,482,0.274
Valparaiso,114,53,19-34,1871,512,0.274
Kennesaw St.,115,55,25-30,1897,519,0.274
Notre Dame,116,54,24-30,1837,502,0.273
Saint Mary's (CA),117,54,31-23,1761,481,0.273
Fla. Atlantic,118,63,43-19-1,2175,594,0.273
Northeastern,119,57,36-21,1992,544,0.273
Fairfield,120,51,22-29,1692,462,0.273
Davidson,121,54,33-21,1839,502,0.273
Toledo,122,55,22-33,1887,515,0.273
CSUN,123,58,28-30,2049,559,0.273
Washington,124,61,35-26,2082,568,0.273
Stony Brook,125,57,32-25,1844,503,0.273
Dartmouth,126,40,17-22-1,1413,385,0.272
Western Ky.,127,52,21-31,1770,482,0.272
Illinois St.,128,52,22-30,1862,507,0.272
Belmont,129,55,19-36,1935,526,0.272
Kansas,130,57,27-30,1939,527,0.272
SFA,131,53,17-36,1814,493,0.272
USC Upstate,132,52,23-28-1,1771,481,0.272
Butler,133,54,34-20,1871,508,0.272
Utah,134,55,16-39,1891,513,0.271
Central Mich.,135,60,29-30-1,2002,543,0.271
Maine,136,54,20-34,1803,489,0.271
Texas,137,65,42-23,2128,577,0.271
Central Conn. St.,138,46,18-28,1494,405,0.271
Eastern Ill.,139,54,23-31,1863,504,0.271
Virginia,140,54,29-25,1842,498,0.27
Gonzaga,141,57,33-24,1950,527,0.27
Northwestern St.,142,62,38-24,2148,580,0.27
Wagner,143,56,38-18,1871,505,0.27
Fordham,144,55,35-19-1,1843,497,0.27
Rutgers,145,50,25-25,1692,456,0.27
VCU,146,57,34-23,1874,505,0.269
Western Caro.,147,58,11-47,1982,534,0.269
Vanderbilt,148,62,35-27,2078,559,0.269
N.C. Central,149,52,28-24,1703,458,0.269
Hartford,150,57,26-31,1841,495,0.269
Georgetown,151,55,25-30,1812,487,0.269
Cal St. Fullerton,152,61,36-25,2082,559,0.268
New Orleans,153,61,29-32,2176,584,0.268
Southern Ill.,154,58,28-30,1949,523,0.268
Miami (OH),155,55,35-20,1838,493,0.268
Illinois,156,53,33-20,1805,484,0.268
Harvard,157,42,22-20,1451,389,0.268
Hawaii,158,51,27-24,1661,445,0.268
Western Mich.,159,48,23-25,1613,432,0.268
UIC,160,48,30-18,1595,427,0.268
South Dakota St.,161,50,18-32,1715,459,0.268
Penn,162,42,16-25-1,1510,404,0.268
Richmond,163,56,32-24,1873,501,0.267
North Florida,164,56,28-28,1907,510,0.267
Monmouth,165,55,30-25,1836,491,0.267
Samford,166,63,37-26,2155,576,0.267
LIU Brooklyn,167,57,31-26,1883,503,0.267
Creighton,168,50,34-16,1709,456,0.267
McNeese,169,58,25-33,1912,510,0.267
The Citadel,170,53,19-34,1779,474,0.266
CSU Bakersfield,171,57,21-36,1904,507,0.266
Missouri,172,56,34-22,1909,508,0.266
Houston,173,63,38-25,2124,564,0.266
George Mason,174,56,29-27,1891,502,0.265
Florida St.,175,62,43-19,2053,545,0.265
Virginia Tech,176,54,21-33,1869,496,0.265
Iowa,177,53,33-20,1779,472,0.265
Alabama A&M,178,49,12-37,1659,440,0.265
Houston Baptist,179,59,29-30,2003,531,0.265
UC Santa Barbara,180,56,27-28-1,1897,502,0.265
Elon,181,59,36-23,1984,525,0.265
Tulane,182,58,25-33,1973,522,0.265
Ball St.,183,58,32-26,1983,524,0.264
UNCW,184,62,39-23,2131,563,0.264
UCF,185,56,35-21,1889,499,0.264
Texas St.,186,59,30-28-1,1950,515,0.264
Mt. St. Mary's,187,54,21-33,1743,459,0.263
Presbyterian,188,54,15-39,1853,487,0.263
Army West Point,189,61,37-24,1903,500,0.263
Columbia,190,50,20-30,1744,458,0.263
Georgia St.,191,55,26-29,1840,482,0.262
Eastern Mich.,192,56,22-34,1902,498,0.262
Portland,193,53,23-30,1768,462,0.261
South Alabama,194,57,32-25,1922,502,0.261
Clemson,195,63,47-16,2066,539,0.261
TCU,196,56,33-23,1872,488,0.261
Ark.-Pine Bluff,197,45,20-25,1432,373,0.26
UC Riverside,198,52,19-33,1836,478,0.26
UT Arlington,199,57,22-35,1963,511,0.26
NJIT,200,47,22-25,1606,416,0.259
Kansas St.,201,54,23-31,1824,472,0.259
Sacramento St.,202,60,35-25,2034,526,0.259
UT Martin,203,51,11-40,1764,456,0.259
San Francisco,204,58,28-30,1927,497,0.258
Evansville,205,51,12-39,1710,441,0.258
Missouri St.,206,57,40-17,1843,475,0.258
Washington St.,207,50,16-33-1,1696,437,0.258
Oklahoma St.,208,58,31-26-1,1960,505,0.258
Rider,209,47,12-35,1550,399,0.257
Miami (FL),210,54,28-26,1821,468,0.257
Winthrop,211,56,25-31,1876,482,0.257
Little Rock,212,56,28-28,1880,483,0.257
Pepperdine,213,55,31-24,1819,467,0.257
Oakland,214,47,15-32,1587,407,0.256
Pacific,215,51,22-29,1704,437,0.256
Utah Valley,216,52,15-37,1767,453,0.256
Wake Forest,217,57,25-32,1947,499,0.256
Dayton,218,52,21-31,1725,442,0.256
La Salle,219,55,14-41,1897,486,0.256
Liberty,220,58,32-26,1953,500,0.256
Cincinnati,221,56,28-28,1834,469,0.256
Alabama,222,56,27-29,1889,483,0.256
UMBC,223,51,22-29,1627,416,0.256
Stetson,224,61,48-13,1995,510,0.256
Southern California,225,54,26-28,1814,463,0.255
Loyola Marymount,226,55,25-30,1839,469,0.255
Western Ill.,227,48,17-31,1596,407,0.255
Campbell,228,61,35-26,2028,517,0.255
Bowling Green,229,50,11-39,1697,432,0.255
James Madison,230,52,26-26,1722,438,0.254
Alcorn,231,52,13-39,1668,424,0.254
North Dakota St.,232,50,26-24,1661,422,0.254
Southern U.,233,42,9-33,1390,353,0.254
Ohio,234,53,21-32,1828,464,0.254
Sacred Heart,235,52,17-35,1698,431,0.254
Tennessee,236,56,29-27,1868,474,0.254
UMass Lowell,237,54,25-29,1739,441,0.254
Yale,238,43,22-21,1490,377,0.253
Arkansas St.,239,52,20-32,1792,453,0.253
Manhattan,240,53,25-28,1732,437,0.252
Northern Ill.,241,56,20-36,1820,459,0.252
Bucknell,242,45,17-27-1,1386,349,0.252
Northern Ky.,243,53,14-39,1815,457,0.252
Prairie View,244,54,14-40,1713,431,0.252
Radford,245,57,25-32,1912,481,0.252
Southeastern La.,246,59,37-22,1881,472,0.251
La.-Monroe,247,54,23-31,1786,448,0.251
Northwestern,248,49,17-32,1641,410,0.25
Delaware,249,58,31-27,1908,476,0.249
Fairleigh Dickinson,250,47,10-37,1468,366,0.249
Cornell,251,37,14-22-1,1270,316,0.249
Santa Clara,252,52,26-26,1753,436,0.249
Ga. Southern,253,56,30-26,1832,455,0.248
Lehigh,254,49,22-27,1528,379,0.248
Long Beach St.,255,57,27-30,1847,458,0.248
Norfolk St.,256,49,19-30,1570,389,0.248
Lipscomb,257,54,24-30,1766,435,0.246
Binghamton,258,49,18-30-1,1564,384,0.246
Delaware St.,259,44,9-35,1418,348,0.245
Massachusetts,260,44,15-29,1478,362,0.245
SIUE,261,52,15-37,1777,435,0.245
Albany (NY),262,48,20-28,1547,378,0.244
Brown,263,37,11-26,1290,315,0.244
Purdue Fort Wayne,264,48,11-37,1540,376,0.244
Michigan St.,265,52,20-32,1751,427,0.244
UAB,266,54,21-33,1770,430,0.243
Boston College,267,49,17-32,1676,407,0.243
Youngstown St.,268,56,18-38,1849,449,0.243
UTRGV,269,54,23-31,1808,439,0.243
Maryland,270,54,24-30,1801,437,0.243
Lafayette,271,51,16-34-1,1662,403,0.242
Louisiana,272,59,34-25,1950,472,0.242
St. Bonaventure,273,43,10-33,1439,348,0.242
Lamar University,274,55,19-36,1822,440,0.241
Princeton,275,37,10-27,1253,301,0.24
UMES,276,53,12-41,1584,380,0.24
Chicago St.,277,54,13-41,1692,405,0.239
Oregon,278,55,26-29,1781,426,0.239
Iona,279,47,16-31,1517,362,0.239
Omaha,280,50,15-35,1624,386,0.238
Pittsburgh,281,55,29-26,1789,425,0.238
Holy Cross,282,45,18-27,1450,344,0.237
Memphis,283,56,20-36,1813,430,0.237
Saint Joseph's,284,48,21-27,1599,377,0.236
Savannah St.,285,41,7-34,1312,309,0.236
UNC Asheville,286,51,13-38,1708,402,0.235
Hofstra,287,46,23-23,1502,353,0.235
Rhode Island,288,51,24-27,1657,389,0.235
Penn St.,289,49,15-34,1625,379,0.233
Charleston So.,290,54,19-35,1819,423,0.233
Towson,291,55,13-42,1817,420,0.231
Villanova,292,48,9-39,1587,360,0.227
Longwood,293,55,17-38,1791,401,0.224
William & Mary,294,54,15-39,1793,395,0.22
Mississippi Val.,295,46,11-35,1410,303,0.215
Appalachian St.,296,54,18-36,1771,371,0.209
Saint Peter's,297,44,2-42,1352,282,0.209
